HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	N.Healthy.Datasets	N.Disease.Datasets	Overall.Predictability.rho	Overall.Lower.Predictability.rho	Overall.Upper.Predictability.rho	Overall.Pval.rho	Overall.Lower.pred.interval	Overall.Upper.pred.interval	Overall.Q	Overall.Pval.Q	Overall.I2	Overall.Lower.I2	Overall.Upper.I2	Healthy.rho	Healthy.rho.lower.ci	Healthy.rho.upper.ci	Healthy.Pval	Healthy.I2	Disease.rho	Disease.rho.lower.ci	Disease.rho.upper.ci	Disease.Pval	Disease.I2	Between.Subgroups.Q	Between.Subgroups.Pval	Overall.FDR.rho	Healthy.FDR	Disease.FDR	Between.Subgroups.FDR
HMDB0000094	Citric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.193973626182134	0.00115454940726421	0.372886151742018	0.0486609816662809	-0.50592038667115	0.898846127925387	65.7402311201033	0.000000000103539707957591	0.863097530284651	0.767241931439926	0.919477394145308	0.178317026574445	-0.101	0.432	0.209911645906101	0.85	0.208141525567997	-0.081	0.465	0.157047110985136	0.89	0.0223530190208295	0.88115180255338	0.0563442945609568	0.241783047640535	0.191946468981833	0.982800499379551
HMDB0000127	D-Glucuronic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.331128415246845	0.270439983059582	0.389195643796132	0.00000000000000000000000538098488260786	0.256540736904375	0.431649466450782	0.549425386087727	0.997184022422309	0	0	0	0.345087094892633	0.251	0.433	0.0000000000112330032276352	0	0.321219641581777	0.241	0.397	0.0000000000000684573768148216	0	0.15064780654916	0.697917058317627	0.0000000000000000000000739885421358581	0.000000000145368277063515	0.000000000000885918994074162	0.971071157456726
HMDB0000792	Sebacic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.570974933460067	0.49904441208927	0.635091376750584	0.00000000000000000000000000000000000206707250476082	0.347628860794394	0.950307474163796	21.5310564032751	0.0104901332100809	0.581999144332231	0.15746441297804	0.792620373512563	0.578975801151833	0.446	0.687	0.00000000000096159187468129	0.66	0.567728776270609	0.473	0.649	0.000000000000000000000206084774355388	0.59	0.0216740789114265	0.882957435293501	0.0000000000000000000000000000000000909511902094761	0.0000000000192318374936258	0.00000000000000000000412169548710777	0.982800499379551
HMDB0000929	L-Tryptophan	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	16	9	7	0.327657419787769	0.234644551165266	0.414725000701768	0.0000000000424942965837780	-0.0289541670789919	0.709357494203022	47.2404541660663	0.000033692497748544	0.682475533633316	0.466618089979466	0.810976366375894	0.321607915695925	0.16	0.466	0.000142293834377911	0.77	0.346530111231242	0.243	0.442	0.000000000383081502277471	0.51	0.0714468653472341	0.789241678567168	0.00000000025266879049814	0.000504913605857104	0.00000000300992608932299	0.971071157456726
HMDB0002123	1,3,7-Trimethyluric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.254838040428249	0.170672893024187	0.335311370842606	0.00000000707135841114511	0.0795492858754656	0.441610915760043	8.93088517634436	0.257656389113854	0.216203112929811	0	0.636779931760736	0.244021802053349	0.127	0.354	0.0000573485049876693	0	0.240100096616071	0.073	0.394	0.00523166301204523	0.64	0.00150617765805586	0.969042266859333	0.0000000293528084990929	0.000229394019950677	0.0092077269011996	0.989421412154653
HMDB0000192	L-Cystine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	4	5	0.424989711898533	0.35157616499722	0.493208101090607	0.000000000000000000000000878880814383186	0.237931968622855	0.669599971345844	13.0057833629263	0.111650779285574	0.384889031536196	0	0.716937461628532	0.426664552502773	0.242	0.582	0.000019288721218542	0.66	0.417310083381006	0.35	0.48	0.000000000000000000000000000165603602875578	0	0.00997226922369987	0.920454480652469	0.0000000000000000000000128902519442867	0.0000894450359759193	0.00000000000000000000000000607213210543787	0.989421412154653
HMDB0000826	Pentadecanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.484919645292645	0.296497373427831	0.637005446556863	0.00000351966784075772	-0.239626571698369	1.29841959350656	45.1157621505301	0.0000000443875347600821	0.867008785533073	0.747889319462982	0.929845641256793	0.509261543872065	0.304	0.669	0.00000849085294782178	0.73	0.455917685823938	0.063	0.726	0.0245577850398833	0.94	0.075858362552645	0.782990531526194	0.00000870030252771571	0.0000415108366337954	0.0379217334852257	0.971071157456726
HMDB0000296	Uridine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.174706371224046	0.0798071902114975	0.266467067037985	0.000338796875596603	-0.14024568887349	0.493279950711476	31.5421410819632	0.00162754130296179	0.619556580866922	0.305440422336517	0.791612987832424	0.186193983817517	0.032	0.331	0.017953326315915	0.68	0.167267068737123	0.039	0.29	0.0108522953732148	0.6	0.0355737457929495	0.850398466171409	0.000568971852146966	0.0288301590474547	0.0180871589553581	0.97951655789377
HMDB0000767	Pseudouridine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	6	4	0.185975217664796	0.062124541451134	0.304185301231087	0.00341282665121095	-0.217007266103899	0.593337139045398	28.0062674657261	0.000951569836670796	0.678643360418729	0.377006961348534	0.834235563809018	0.170105619973539	0.007	0.324	0.0406772817791561	0.63	0.203034892704276	0	0.39	0.0500846940715445	0.75	0.0643669657428939	0.799722346164603	0.00472215008343654	0.0566392531102174	0.0706322608701268	0.971071157456726
HMDB0000071	Deoxyinosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.241196528090808	0.0325166394386513	0.429725706525355	0.0239110963464177	-0.48895268823721	0.981041010011268	42.6008611066077	0.000000139897341232257	0.859157776529795	0.730313582778985	0.926445936297287	0.228030050850514	-0.051	0.474	0.108496357507131	0.84	0.254920520352181	-0.116	0.563	0.175587536419667	0.91	0.0140729093726068	0.905569056044142	0.0289035230561093	0.131874025699275	0.211088841597414	0.987284406661093
HMDB0002259	Heptadecanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.409003352336283	0.225292159351316	0.564629342500496	0.0000333190518243364	-0.26076028789346	1.12958783394198	37.8037851412928	0.00000122706114335498	0.841285734283622	0.689608482249514	0.918843728963823	0.46762088782047	0.35	0.571	0.00000000000230571078691836	0.21	0.310670665442562	-0.079	0.618	0.115601939675719	0.93	0.735285522010576	0.391175291617074	0.0000666381036486728	0.0000000000422713644268367	0.14786294609685	0.971071157456726
HMDB0000133	Guanosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.142756744191551	0.0505898906111485	0.232512548612726	0.00247941379577085	-0.155349724054313	0.442826818897633	29.3221089644367	0.00352826551358679	0.590752492784397	0.245436346827952	0.77803923968758	0.182867539755719	0.033	0.324	0.0168612477956471	0.66	0.106263659411062	-0.011	0.221	0.0766304350252053	0.52	0.637071299344441	0.424773316074088	0.00354201970824407	0.0278209101844812	0.102796925033812	0.971071157456726
HMDB0001976	Docosapentaenoic acid (22n-6)	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.523404615132251	0.400466287084061	0.627832883357465	0.000000000000381505385948562	0.0572173831173286	1.10481772314369	35.4248160796435	0.0000223703700006186	0.774169610873517	0.570956987311561	0.881132280109982	0.516482411096204	0.3	0.683	0.0000195152805765642	0.82	0.533376963348499	0.371	0.664	0.0000000126324934938264	0.75	0.0188619638111573	0.890762951730707	0.00000000000310856240402532	0.0000894450359759193	0.0000000712602197087643	0.984763062214852
HMDB0000244	Riboflavin	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.100288358191487	0.00271394493313088	0.195971123448777	0.0439790503952453	-0.186195822668256	0.387449076916109	20.2720695567889	0.0163056257383131	0.556039408073855	0.097768243313593	0.781540601156294	0.0592382456227264	-0.108	0.223	0.4870397264617	0.6	0.136615046678872	0.017	0.252	0.025439748624358	0.53	0.552141392001016	0.45744404026725	0.0514648462072019	0.520139513696962	0.0385982392921294	0.971071157456726
HMDB0000717	Isolithocholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.337590378547822	0.163329476196091	0.491423545341417	0.000223081102148347	-0.277379604718064	0.980120525846608	33.3040903527695	0.00000916347671578838	0.819841949248704	0.639602666823616	0.909941277965501	0.234244731112558	0.107	0.354	0.000374209183978739	0.29	0.456851639802019	0.162	0.677	0.00340865730974668	0.88	1.97202084422879	0.16023352404068	0.000389506686290764	0.00113611938775573	0.00630171939617033	0.971071157456726
HMDB0000138	Glycocholic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	7	7	0.294686607930004	0.170572707598706	0.409595627786494	0.00000593556910416756	-0.189839349867518	0.797221061317657	63.2900900100393	0.0000000134557953154245	0.794596594854931	0.662601750379826	0.874953237331001	0.238519952376664	0.024	0.432	0.0300135822165474	0.82	0.351061529941147	0.211	0.477	0.00000238771796787307	0.73	0.819226474314142	0.365406423648583	0.000013891757477839	0.0440199205842696	0.00000971728823266305	0.971071157456726
HMDB0001414	Putrescine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.442331670674267	0.291034733123925	0.572043823771151	0.000000110662963751892	-0.166385071923762	1.11663697695236	70.4092983978422	0.0000000000369589654287765	0.857973304271606	0.763598790703162	0.914672254175328	0.395330380588526	0.144	0.599	0.00269586822045993	0.87	0.4951320312477	0.3	0.65	0.00000487691310975906	0.84	0.464066655267843	0.49572952399138	0.000000374551569621787	0.00575816513107947	0.0000184986359335688	0.971071157456726
HMDB0000161	L-Alanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.297781748885386	0.183010415052626	0.404545326487393	0.000000806169920648775	-0.156354275880314	0.770521760120048	62.1344671683169	0.000000049382677496328	0.774682223280756	0.631924799159284	0.862071390874082	0.302905118937496	0.089	0.49	0.00605447895988327	0.85	0.295998072150523	0.176	0.408	0.00000286405327406078	0.62	0.00334122683095994	0.95390527276229	0.00000216289490905769	0.0113844903519173	0.0000112516378623816	0.989421412154653
HMDB0000056	beta-Alanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.35390125868107	0.248004955279954	0.451439919319382	0.000000000506326863085798	-0.04606853128183	0.785861714012016	46.3871639380491	0.0000059496695511446	0.741307745909489	0.552525080160525	0.85044595940609	0.334442416987988	0.216	0.443	0.000000106603088544587	0.53	0.365251240313549	0.186	0.521	0.000119108266821536	0.83	0.0868993986257631	0.768156567747448	0.00000000246154013011841	0.00000075653804773578	0.000319558764643144	0.971071157456726
HMDB0000097	Choline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.27804651766432	0.147524775697159	0.399049700049512	0.0000437515642068323	-0.226429583157408	0.797556908311595	64.6099543536813	0.00000000321838537375486	0.814270105589136	0.693144433316212	0.887583614497637	0.191585758489049	-0.018	0.385	0.072748057067048	0.83	0.372342642262199	0.237	0.493	0.000000277309853175365	0.7	2.22358248537919	0.135917350483984	0.0000844328432061677	0.0930498404345963	0.00000132626451518653	0.971071157456726
HMDB0000630	Cytosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.211897820377172	0.0805832186393621	0.335982413198099	0.001702937269747	-0.268523838693789	0.698838944125928	53.4385560145776	0.000000149395172338416	0.794156114603859	0.64738439939183	0.879835988305964	0.229493560792234	0.068	0.379	0.00555106667623478	0.67	0.18362374870144	-0.036	0.386	0.100602292408326	0.87	0.115448410259568	0.734024469279314	0.0024647776272654	0.0106194319023622	0.132529966046896	0.971071157456726
HMDB0000870	Histamine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.252433394717141	0.146529291572119	0.352616403274994	0.00000465494994991536	-0.0746702560082038	0.590690504330037	22.4965633099256	0.00743163156384264	0.59993889395412	0.198607847022004	0.800286429089795	0.239140246141371	0.082	0.385	0.00318835168608757	0.56	0.262891480603897	0.112	0.402	0.000741894730287023	0.64	0.0486606303915262	0.825410483838217	0.0000112537251536415	0.00674459010518525	0.00163992322968284	0.971071157456726
HMDB0000562	Creatinine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.291483679910996	0.182789142104197	0.393138713598726	0.00000033620796571277	-0.109561449768445	0.7099353321152	45.3380267468651	0.00000901742644928619	0.735321520122626	0.540696493985859	0.847476240017987	0.239360353170249	0.141	0.333	0.00000297431132903959	0.28	0.343170595358512	0.153	0.509	0.000581862356355412	0.84	0.952820974224433	0.329002280588771	0.000000986210032757459	0.000015579726009255	0.00134747071998096	0.971071157456726
HMDB0000043	Betaine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.268565215876495	0.150752902786681	0.378855754774238	0.0000122750020239305	-0.144389554575827	0.69502328123906	38.5638804288244	0.0000302627452307429	0.740689995695414	0.528422106926987	0.85741130082611	0.19562720081607	-0.015	0.389	0.0678394136129583	0.79	0.343858840920072	0.228	0.45	0.0000000273381355063341	0.57	1.61180307903472	0.204238529882116	0.0000272777822754012	0.0872787777476656	0.000000150359745284838	0.971071157456726
HMDB0001488	Nicotinic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.295733925990415	0.212430014506987	0.374770359623412	0.0000000000202961382384714	0.0266048850082384	0.583071436015713	26.8679275897631	0.00807261390039081	0.553370837407939	0.167023798051932	0.760524240174965	0.284600364414517	0.138	0.419	0.000189670199435427	0.67	0.308857618241526	0.212	0.4	0.00000000172810671465783	0.39	0.0789704693881491	0.778697476768931	0.000000000127575726070392	0.000641960675012214	0.0000000115207114310522	0.971071157456726
HMDB0000251	Taurine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	8	6	0.457632322760604	0.375811537144222	0.532373213464176	0.000000000000000000000147773856425178	0.152916058409742	0.835708500439557	37.6883705664046	0.00032289772993815	0.65506601095702	0.39213793802531	0.804265697367939	0.427715194014005	0.326	0.52	0.0000000000000478496892683482	0.5	0.489535242041363	0.353	0.606	0.00000000033732099969717	0.76	0.560857223279382	0.453915060366395	0.0000000000000000000019123675537376	0.00000000000131586645487958	0.00000000274854147901398	0.971071157456726
HMDB0000267	Pyroglutamic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.0901209330251156	0.0108046968987203	0.168310213986148	0.0260044578107878	-0.116684031709482	0.297416251262303	16.3950770643849	0.0888676580942086	0.3900608115028	0	0.699724416589023	0.0699095495844973	-0.018	0.157	0.119998442511977	0	0.0949773709599059	-0.055	0.241	0.214836207048208	0.66	0.080369386145596	0.776797452985403	0.0312621897178869	0.144260422691994	0.250073891802146	0.971071157456726
HMDB0000070	Pipecolic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.310801051246	0.220113219455647	0.396162390459669	0.000000000111031911992367	0.030294755694223	0.612568983779009	21.0511653842726	0.0124251672148211	0.57247022501073	0.135568794522217	0.788552625883803	0.262147350601129	0.158	0.36	0.00000138104389616933	0.25	0.358712809425762	0.221	0.482	0.00000097842252242851	0.66	1.27615970970471	0.258614295237913	0.000000000610675515958017	0.00000759574142893133	0.00000448443656113067	0.971071157456726
HMDB0002064	N-Acetylputrescine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.518456278221206	0.445147589293398	0.584861578639673	0.0000000000000000000000000000000535426531675456	0.275189440351621	0.8732630205829	26.6397557183441	0.00520689468682968	0.587083300751688	0.218375805512125	0.781864223599381	0.533613976818312	0.445	0.612	0.000000000000000000000025740295154243	0.36	0.499118232462257	0.371	0.608	0.0000000000108913920929739	0.73	0.21946292329938	0.639449448888252	0.00000000000000000000000000000168276909955143	0.00000000000000000000283143246696673	0.000000000114100298116869	0.971071157456726
HMDB0000725	4-Hydroxyproline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.336350398033232	0.235570348290807	0.429973614779549	0.000000000432468642399989	0.00658693953289918	0.693356351844602	25.5326220460918	0.00243517531954363	0.647509762853455	0.30694881101986	0.82072122628277	0.317744702088749	0.195	0.431	0.00000102228230621376	0.37	0.353753597008642	0.191	0.498	0.0000394591817820882	0.78	0.130502949409583	0.717911132722242	0.00000000221263026344181	0.00000576672070171863	0.000120569722111936	0.971071157456726
HMDB0000064	Creatine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.372970755923769	0.215974213579533	0.511167865690212	0.00000842798182792177	-0.243747250171643	1.0274861754976	76.7789510483435	0.00000000000214144366952815	0.869755970048307	0.785834958950105	0.920792360625722	0.313931035593616	0.06	0.529	0.0160597614304773	0.87	0.435200698947368	0.221	0.609	0.000152329071614805	0.88	0.599099531556599	0.43892180196997	0.000019517431601503	0.0269705917153055	0.000385199951209853	0.971071157456726
HMDB0000687	L-Leucine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	16	9	7	0.291808552709667	0.185528508582459	0.391340323925778	0.000000178683388374851	-0.130178852263663	0.731262883691355	59.2589150259852	0.000000338037429829712	0.746873529604407	0.587040567486499	0.844844299535799	0.240588379090584	0.074	0.394	0.00505908836054649	0.77	0.36189300313976	0.248	0.466	0.00000000334677628620808	0.6	1.51764737788408	0.21797586254104	0.000000578093315330401	0.0100341171873134	0.0000000210368795133079	0.971071157456726
HMDB0000172	L-Isoleucine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.260886444967689	0.12703768207088	0.385403971028036	0.000172169742147495	-0.281511512047183	0.815630222846001	81.8705427834923	0.0000000000127093588696614	0.828998324378731	0.730348811605819	0.891557781593991	0.230646487834463	0.03	0.413	0.0244171594744473	0.82	0.293201716776898	0.106	0.46	0.00242537669831832	0.84	0.21691914550178	0.641397468607595	0.000310470026823352	0.036792980029989	0.00472197233300912	0.971071157456726
HMDB0000214	Ornithine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.27703644322903	0.182626708516888	0.366383897928857	0.0000000229283419077087	-0.0486934627687459	0.617632041237363	33.7170381063328	0.000747419375405326	0.644096852097274	0.356186442042502	0.803255074203592	0.244959010546454	0.079	0.398	0.00407839519149525	0.74	0.318554658551424	0.219	0.411	0.00000000155422302374948	0.43	0.605593694262631	0.436451702220417	0.0000000884953547315073	0.00838548544045752	0.000000011029969845964	0.971071157456726
HMDB0000699	1-Methylnicotinamide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.211779090474165	0.126201222446167	0.294228081599215	0.00000174566072887049	-0.0233688041480988	0.453435292971495	16.527830332369	0.0566443990570221	0.455463916375405	0	0.738245299038175	0.212028593498975	0.095	0.324	0.000451722932517801	0.26	0.210841346201804	0.075	0.339	0.00248678514011932	0.64	0.000176036168803032	0.989414088137122	0.00000457196857561319	0.00132505393538555	0.00479905904233553	0.998121644018567
HMDB0000875	Trigonelline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	4	5	0.142100399316504	0.0249265333719031	0.255422756385454	0.017615805071521	-0.222169614607743	0.508306839177106	23.8621954953115	0.00241691924277153	0.664741662116888	0.321026279234142	0.834458757853889	0.1694058395474	-0.038	0.363	0.108439696798746	0.66	0.118352930089256	-0.04	0.271	0.141612374660199	0.73	0.151902355846281	0.696723987650977	0.0215304284207479	0.131874025699275	0.174048728632647	0.971071157456726
HMDB0000301	Urocanic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.321051062645483	0.181098504375682	0.448258586026338	0.0000131583751364311	-0.145842302437277	0.811479338738242	23.1258454569247	0.000755406776904827	0.740550026109277	0.445805463163865	0.878536715038387	0.338284694848504	0.157	0.497	0.000368280717697045	0.67	0.294562927186981	0.021	0.527	0.0352929333449322	0.86	0.0772577344777535	0.781048625538011	0.0000286618072278698	0.00113611938775573	0.0517629689059005	0.971071157456726
HMDB0002271	Imidazolepropionic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.34286357127597	0.23883860282308	0.439108540813533	0.000000000751913034315722	0.0436825384089933	0.670985416905184	14.3146331877214	0.0458600446994907	0.510989914432152	0	0.781032651219133	0.332912966669454	0.221	0.436	0.000000022520867732794	0	0.336255209300529	0.137	0.51	0.001234665991657	0.77	0.000910393253137506	0.975929301988908	0.00000000344626807394706	0.000000198183636048587	0.00258691922061467	0.989421412154653
HMDB0004827	Proline betaine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.142405661016043	0.0439668133675366	0.238105872025659	0.00468999060299046	-0.174617899556864	0.461378257204526	28.8048701023406	0.00243364254464241	0.618120131737509	0.284880110358239	0.796073027898536	0.232631523256706	0.142	0.319	0.000000790180314506129	0.06	0.066970095539985	-0.088	0.219	0.397041224497729	0.72	3.36635197634054	0.066540945968319	0.00633004866661289	0.00000457472813661443	0.430290982214288	0.971071157456726
HMDB0003464	4-Guanidinobutanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.222362367362703	0.114582654791114	0.324968123238251	0.0000657499621790045	-0.14864101552063	0.600920999740844	36.0924705965106	0.000163346921432784	0.69522729205843	0.447406903333066	0.831908136264643	0.271101942310052	0.114	0.415	0.00088038524752746	0.67	0.174831818318625	0.012	0.328	0.0350405958642671	0.75	0.733942496660204	0.391608249193089	0.000125782536342443	0.00233355125850652	0.0517377925512669	0.971071157456726
HMDB0001161	4-Trimethylammoniobutanoic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.225952499815539	0.141304194952687	0.307320764164786	0.000000274034985047611	-0.0283417388552299	0.488181869113767	22.4391455012888	0.0211835030582633	0.509785254551327	0.0513758201303946	0.746674708746788	0.307954529984474	0.224	0.388	0.00000000000672253729693698	0	0.13702939184917	-0.004	0.273	0.0573063707858444	0.67	4.38973426002	0.036155948169382	0.000000825858859047595	0.0000000000924348878328835	0.0797936808410491	0.971071157456726
HMDB0000895	Acetylcholine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.352379000312048	0.257087357393782	0.440884170187431	0.0000000000068372344371905	0.0905238181472483	0.64579107662613	11.1581653051992	0.0836094291782975	0.462277190211165	0	0.77336429319672	0.296140526944959	0.114	0.459	0.00171598876457942	0.57	0.386619677117564	0.269	0.493	0.00000000160759093251188	0.47	0.748334371636409	0.387004091467116	0.0000000000501397192060637	0.0038919332804894	0.0000000110521876610192	0.971071157456726
HMDB0000182	L-Lysine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.225528339847632	0.122054945600749	0.324152062648293	0.0000254280205404452	-0.157240616861109	0.616186876657636	47.2050083726032	0.000017784551758669	0.703421300352415	0.497641054482294	0.824908213799187	0.243204503593063	0.101	0.376	0.000944963398056576	0.65	0.204048523096185	0.039	0.358	0.0155374370834583	0.78	0.131232775900895	0.717157263434984	0.0000522819113915695	0.00247490413776722	0.0249506288931447	0.971071157456726
HMDB0000062	L-Carnitine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.241188837127385	0.155172829580732	0.323575311053128	0.0000000736733918707685	-0.0347132941651113	0.526785283914592	27.1545131392729	0.00734090339408785	0.558084509250703	0.17693733580565	0.762728514534978	0.184784587097987	0.02	0.34	0.0278631106979656	0.72	0.30514865089043	0.234	0.373	0.000000000000000561903897535141	0	1.88206256599987	0.170099908732955	0.000000257272162088398	0.0416998935615812	0.00000000000000824125716384874	0.971071157456726
HMDB0002005	Methionine sulfoxide	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.15856124905635	0.0458438233389553	0.267291838943973	0.00598767266824825	-0.243626072859082	0.563447059197253	44.3055843040888	0.0000135451329766388	0.729153780759583	0.528468485100969	0.844426783451503	0.175054877994428	-0.035	0.371	0.102598187117448	0.83	0.170922376429875	0.073	0.265	0.000662512295414347	0.34	0.00126805752823391	0.971593497679211	0.00788795201805159	0.126444485770522	0.00151825734365788	0.989421412154653
HMDB0000897	7-Methylguanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	5	6	0.310120459717961	0.205279530950185	0.407924758361034	0.0000000227346050723512	-0.044649201706098	0.686006564607792	30.8980739946192	0.000609901531546374	0.676355231664554	0.391505828776035	0.827860411776481	0.335632958104854	0.179	0.475	0.0000458675695056357	0.61	0.287786063225117	0.131	0.431	0.000417761587284393	0.75	0.195388264866938	0.658469343750516	0.0000000884953547315073	0.000197860103749801	0.000988869225769685	0.971071157456726
HMDB0001431	Pyridoxamine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.30889275302086	0.202556764719135	0.408029246399057	0.0000000393692348837042	-0.0268058291151719	0.665447644009606	19.6782607905047	0.00630821114136098	0.644277506303926	0.239879122676516	0.83352846067468	0.306482658095425	0.201	0.405	0.00000004090399568744	0.14	0.311930628784951	0.117	0.483	0.00202028182300652	0.81	0.00254554287324241	0.959761104798591	0.000000144353861240249	0.000000346110732739877	0.00400416217172463	0.989421412154653
HMDB0000479	3-Methylhistidine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.145078700086064	0.0685231378878121	0.219935700501847	0.000218939806995313	-0.03502656228053	0.327245791790536	13.0027057117425	0.16248386983163	0.307836368866498	0	0.669273851310986	0.149698161735315	-0.009	0.301	0.0648634384112741	0.56	0.156997338697308	0.079	0.233	0.0000798061263696487	0	0.00674421326060148	0.934548777025424	0.000385334060311752	0.0839409202969429	0.000222244908877503	0.989421412154653
